Description	Resource	Path	Location	Type
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 202	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 204	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 212	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 215	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 217	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 229	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 230	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 233	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 234	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 240	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 241	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 242	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 247	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 251	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 253	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	main.c	/StateMachine_UART	line 258	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 99, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 98, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 97, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 96, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 95, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 94, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 93, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 92, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 91, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 90, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 9, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 89, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 88, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 87, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 86, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 85, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 84, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 83, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 82, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 81, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 80, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 8, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 79, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 78, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 77, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 76, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 75, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 74, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 73, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 72, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 71, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 70, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 7, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 69, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 68, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 67, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	.ccsproject	/StateMachine_UART	line 66, external location: C:\ti\TivaWare_C_Series-2.2.0.295\inc\hw_memmap.h	C/C++ Problem
